iter	Logloss
0	0.6858050178
1	0.6768948185
2	0.6698938706
3	0.6629051298
4	0.6561348231
5	0.649708611
6	0.6431968061
7	0.6385342228
8	0.6333321605
9	0.628832936
10	0.6247058105
11	0.620291748
12	0.615669448
13	0.6113775276
14	0.6074083755
15	0.6031160242
16	0.5999016975
17	0.5973054774
18	0.5934047923
19	0.5902356675
20	0.5877361342
21	0.5849984203
22	0.5802571375
23	0.5773370361
24	0.5747651224
25	0.5723170022
26	0.5705282413
27	0.5675015079
28	0.5657181325
29	0.5634712129
30	0.5618446978
31	0.5601240809
32	0.5582158347
33	0.5567541145
34	0.5550690056
35	0.5530373248
36	0.5510514921
37	0.5492025936
38	0.5473492073
39	0.5454625029
40	0.544564209
41	0.5420512121
42	0.540553158
43	0.5395367073
44	0.5382108082
45	0.5367992446
46	0.5355725098
47	0.5340282844
48	0.5322433651
49	0.5315891041
50	0.530341007
51	0.5290748506
52	0.5280342371
53	0.5249072266
54	0.5238042495
55	0.5222262035
56	0.5210090906
57	0.5196835507
58	0.5187890984
59	0.517595143
60	0.5165368293
61	0.5142354808
62	0.5131062586
63	0.511947955
64	0.5109186509
65	0.5104180549
66	0.5091193704
67	0.5070795755
68	0.5062601965
69	0.5052308206
70	0.5043235151
71	0.5033521226
72	0.5027309283
73	0.5018864531
74	0.5009173943
75	0.4998646097
76	0.4987008128
77	0.4977315028
78	0.4968701172
79	0.4960106704
80	0.4950126379
81	0.4939884679
82	0.4927016314
83	0.4921449908
84	0.4914445944
85	0.4904190602
86	0.4893076459
87	0.4888630946
88	0.4882497989
89	0.4874312457
90	0.4866658648
91	0.4861239085
92	0.4840985825
93	0.482264153
94	0.4814140051
95	0.4803200037
96	0.4795078771
97	0.4782028378
98	0.4773988612
99	0.4768578024
100	0.4759716797
101	0.4752406221
102	0.4741671932
103	0.4727182186
104	0.4719627111
105	0.4712552777
106	0.4704008215
107	0.4685292682
108	0.4669892435
109	0.466237793
110	0.4649893009
111	0.4638891602
112	0.4633088235
113	0.4623105038
114	0.4619459444
115	0.4612198415
116	0.4604905072
117	0.4601071347
118	0.4591942641
119	0.4583469526
120	0.4576827464
121	0.4573118322
122	0.4563757324
123	0.4555336268
124	0.4548221364
125	0.4531019143
126	0.4525237678
127	0.4519031839
128	0.4513058651
129	0.450221055
130	0.4485589959
131	0.4481258617
132	0.4476638614
133	0.4471809297
134	0.4463285917
135	0.4457851275
136	0.444936667
137	0.4441973518
138	0.443426765
139	0.4425048828
140	0.4417571303
141	0.4408631089
142	0.4401000977
143	0.4389859547
144	0.4382230153
145	0.4376367187
146	0.4370004811
147	0.4366824879
148	0.4355936567
149	0.434895594
150	0.4334135886
151	0.4320963422
152	0.4314238425
153	0.4304612104
154	0.4299134737
155	0.4290866986
156	0.4286103372
157	0.4278634105
158	0.4267836627
159	0.4264384909
160	0.4257235897
161	0.4245325784
162	0.4239595301
163	0.4233062385
164	0.4229395249
165	0.4224595014
166	0.4219493552
167	0.4209037152
168	0.4202736529
169	0.4196787397
170	0.4193710507
171	0.4184203024
172	0.417826574
173	0.4173135196
174	0.4166971005
175	0.4161543543
176	0.4150824334
177	0.4147077493
178	0.4141407686
179	0.413563771
180	0.4130675911
181	0.4124678309
182	0.4117292696
183	0.410763119
184	0.4103942871
185	0.4098861156
186	0.4092455696
187	0.4083791576
188	0.4080421717
189	0.40740299
190	0.4065563965
191	0.4059971349
192	0.4054489315
193	0.4046734978
194	0.4041584329
195	0.4037457634
196	0.4031637753
197	0.4025022978
198	0.401962029
199	0.4015774716
200	0.4007564051
201	0.400424697
202	0.3999121453
203	0.3995897719
204	0.3992854578
205	0.3989239861
206	0.3983114445
207	0.3978043859
208	0.3972504021
209	0.3968787339
210	0.3964380601
211	0.3957535688
212	0.3950262092
213	0.394785982
214	0.3940882784
215	0.3935924575
216	0.3929883172
217	0.3924903062
218	0.3917277258
219	0.391131879
220	0.3904885685
221	0.3897444422
222	0.3893429027
223	0.388612994
224	0.3882233025
225	0.3877167107
226	0.3870256491
227	0.3864366958
228	0.3859758803
229	0.3852454331
230	0.3846405388
231	0.3844366455
232	0.3839324951
233	0.3835257856
234	0.3831222714
235	0.3825127815
236	0.3822698616
237	0.3813379624
238	0.3809164608
239	0.3803493365
240	0.3796903004
241	0.3791981058
242	0.378891063
243	0.3781421616
244	0.3777073759
245	0.3773091754
246	0.3767591409
247	0.3764312744
248	0.3759437112
249	0.375206981
250	0.3748236443
251	0.3741053323
252	0.3734373923
253	0.3726820643
254	0.3723196232
255	0.3718382712
256	0.3713932531
257	0.3707921645
258	0.3703261432
259	0.3699616915
260	0.3694636087
261	0.3691142004
262	0.3687884162
263	0.3680544146
264	0.3674318919
265	0.3667435231
266	0.3663170669
267	0.3659757726
268	0.3653232709
269	0.3648287425
270	0.3643085076
271	0.3635547952
272	0.3632406078
273	0.3622970761
274	0.3619873047
275	0.360750158
276	0.3601215318
277	0.359964815
278	0.3592082304
279	0.3588477281
280	0.3583425006
281	0.3580486702
282	0.3577960923
283	0.3574704159
284	0.357118279
285	0.3566209142
286	0.356278507
287	0.355857149
288	0.3555576459
289	0.355087388
290	0.3547350356
291	0.3541253303
292	0.353772583
293	0.3531352683
294	0.3526904656
295	0.3523420267
296	0.351629531
297	0.3511211081
298	0.350778306
299	0.3504091151
